Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Clase Global,Chrome 72.0.3626.109,,2019-02-14 16:10:12,2019-02-14 16:12:28,"2m - 16,739s",PASSED
,,,,,,
Test Cases/Clase Global/IngresarModulo/IngresoModulo,Chrome 72.0.3626.109,,2019-02-14 16:10:12,2019-02-14 16:10:29,"17,317s",PASSED
callTestCase,Chrome 72.0.3626.109,,2019-02-14 16:10:13,2019-02-14 16:10:25,"12,360s",PASSED
navigateToUrl,Chrome 72.0.3626.109,,2019-02-14 16:10:25,2019-02-14 16:10:28,"2,868s",PASSED
executeJavaScript,Chrome 72.0.3626.109,,2019-02-14 16:10:28,2019-02-14 16:10:28,"0,103s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:10:28,2019-02-14 16:10:28,"0,194s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:10:28,2019-02-14 16:10:29,"1,215s",PASSED
,,,,,,
Test Cases/Clase Global/Crear/Crear,Chrome 72.0.3626.109,,2019-02-14 16:10:29,2019-02-14 16:10:49,"19,533s",PASSED
callTestCase,Chrome 72.0.3626.109,,2019-02-14 16:10:30,2019-02-14 16:10:46,"16,211s",PASSED
navigateToUrl,Chrome 72.0.3626.109,,2019-02-14 16:10:46,2019-02-14 16:10:48,"1,899s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:10:48,2019-02-14 16:10:48,"0,127s",PASSED
setText,Chrome 72.0.3626.109,,2019-02-14 16:10:48,2019-02-14 16:10:49,"0,714s",PASSED
setText,Chrome 72.0.3626.109,,2019-02-14 16:10:49,2019-02-14 16:10:49,"0,260s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:10:49,2019-02-14 16:10:49,"0,119s",PASSED
,,,,,,
Test Cases/Clase Global/Crear/CrearOtro,Chrome 72.0.3626.109,,2019-02-14 16:10:49,2019-02-14 16:11:07,"18,270s",PASSED
callTestCase,Chrome 72.0.3626.109,,2019-02-14 16:10:49,2019-02-14 16:11:04,"15,023s",PASSED
navigateToUrl,Chrome 72.0.3626.109,,2019-02-14 16:11:04,2019-02-14 16:11:06,"1,894s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:11:06,2019-02-14 16:11:06,"0,116s",PASSED
setText,Chrome 72.0.3626.109,,2019-02-14 16:11:06,2019-02-14 16:11:07,"0,708s",PASSED
setText,Chrome 72.0.3626.109,,2019-02-14 16:11:07,2019-02-14 16:11:07,"0,208s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:11:07,2019-02-14 16:11:07,"0,117s",PASSED
,,,,,,
Test Cases/Clase Global/Editar/Editar,Chrome 72.0.3626.109,,2019-02-14 16:11:07,2019-02-14 16:11:25,"17,769s",PASSED
callTestCase,Chrome 72.0.3626.109,,2019-02-14 16:11:07,2019-02-14 16:11:22,"14,202s",PASSED
navigateToUrl,Chrome 72.0.3626.109,,2019-02-14 16:11:22,2019-02-14 16:11:24,"1,879s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:11:24,2019-02-14 16:11:24,"0,113s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:11:24,2019-02-14 16:11:24,"0,109s",PASSED
setText,Chrome 72.0.3626.109,,2019-02-14 16:11:24,2019-02-14 16:11:25,"0,732s",PASSED
setText,Chrome 72.0.3626.109,,2019-02-14 16:11:25,2019-02-14 16:11:25,"0,352s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:11:25,2019-02-14 16:11:25,"0,081s",PASSED
,,,,,,
Test Cases/Clase Global/Editar/EditarOtro,Chrome 72.0.3626.109,,2019-02-14 16:11:25,2019-02-14 16:11:44,"18,738s",PASSED
callTestCase,Chrome 72.0.3626.109,,2019-02-14 16:11:25,2019-02-14 16:11:40,"15,342s",PASSED
navigateToUrl,Chrome 72.0.3626.109,,2019-02-14 16:11:40,2019-02-14 16:11:42,"1,940s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:11:42,2019-02-14 16:11:43,"0,137s",PASSED
setText,Chrome 72.0.3626.109,,2019-02-14 16:11:43,2019-02-14 16:11:43,"0,789s",PASSED
setText,Chrome 72.0.3626.109,,2019-02-14 16:11:43,2019-02-14 16:11:44,"0,253s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:11:44,2019-02-14 16:11:44,"0,100s",PASSED
,,,,,,
Test Cases/Clase Global/Eliminar/Eliminar,Chrome 72.0.3626.109,,2019-02-14 16:11:44,2019-02-14 16:12:02,"17,854s",PASSED
callTestCase,Chrome 72.0.3626.109,,2019-02-14 16:11:44,2019-02-14 16:11:59,"15,441s",PASSED
navigateToUrl,Chrome 72.0.3626.109,,2019-02-14 16:11:59,2019-02-14 16:12:01,"2,000s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:12:01,2019-02-14 16:12:01,"0,092s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:12:01,2019-02-14 16:12:02,"0,101s",PASSED
acceptAlert,Chrome 72.0.3626.109,,2019-02-14 16:12:02,2019-02-14 16:12:02,"0,023s",PASSED
,,,,,,
Test Cases/Clase Global/Eliminar/EliminarOtro,Chrome 72.0.3626.109,,2019-02-14 16:12:02,2019-02-14 16:12:28,"26,055s",PASSED
callTestCase,Chrome 72.0.3626.109,,2019-02-14 16:12:02,2019-02-14 16:12:22,"20,151s",PASSED
navigateToUrl,Chrome 72.0.3626.109,,2019-02-14 16:12:22,2019-02-14 16:12:26,"3,852s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:12:26,2019-02-14 16:12:26,"0,119s",PASSED
click,Chrome 72.0.3626.109,,2019-02-14 16:12:26,2019-02-14 16:12:28,"1,655s",PASSED
acceptAlert,Chrome 72.0.3626.109,,2019-02-14 16:12:28,2019-02-14 16:12:28,"0,011s",PASSED
